Target of Evaluation (TOE) Definition,,
ID,Requirement,Rationale
REQ-DATA-400,"The Risk Analysis System shall ensure each threat is associated with exactly one initial attack tree (which is, in turn, associated with an initial attack feasibility level).",Requires an initial assessment of the threat's likelihood.
REQ-DATA-401,"The Risk Analysis System shall ensure each threat is associated with zero or more residual attack trees (0..*), each of which is associated with a residual attack feasibility level.",Allows for reassessment of threat likelihood after controls are applied.
REQ-DATA-402,"The Risk Analysis System shall calculate the initial risk level based on the relationships between damage scenario, impact rating, and initial attack feasibility level.",Formalizes the initial risk calculation process.
REQ-DATA-403,"The Risk Analysis System shall calculate the residual risk level based on the relationships between damage scenario, impact rating, and residual attack feasibility level.",Formalizes the post-mitigation risk calculation process.
Damage Scenarios and Impact,,
ID,Requirement,Rationale
REQ-DATA-500,The Risk Analysis System shall ensure each damage scenario is linked to exactly one impact category and one impact rating.,Requires consistent and singular categorization and quantification of harm.
Risk Treatment and Controls,,
ID,Requirement,Rationale
REQ-DATA-600,"The Risk Analysis System shall allow the definition of a risk treatment strategy for the initial risk, choosing among share, retain, or reduce.",Defines the three accepted treatment options.
REQ-DATA-601,"If the treatment is share or retain, the system shall allow linking the treatment to one or more security claims (1..*).",Requires documentation of acceptance or transfer of risk.
REQ-DATA-602,"If the treatment is reduce, the system shall require linking the treatment to one or more security goals (1..*).",Requires defining the objectives for risk reduction.
REQ-DATA-603,The Risk Analysis System shall ensure each security goal is linked to exactly one security control.,Ensures that every goal has a defined technical or procedural measure.
REQ-DATA-604,The Risk Analysis System shall ensure each security control is linked to zero or more circumvent trees (0..*).,"Allows for the analysis of how an applied control itself might be bypassed, contributing to residual risk."
